layer_index,tensor_index,best_c,val_auroc,val_auprc,val_accuracy,val_f1,test_auroc,test_auprc,test_accuracy,test_f1,test_precision,test_recall,test_mean_score_deceptive,test_mean_score_honest,test_score_separation
0,0,0.1,0.9912109375,0.993140243902439,0.890625,0.8771929824561403,0.93359375,0.8996166301993693,0.859375,0.847457627118644,0.9259259259259259,0.78125,0.8135343194007874,0.13221275806427002,0.6813215613365173
1,1,10.0,0.9951171875,0.995777027027027,0.890625,0.8771929824561403,0.935546875,0.9126883903611316,0.828125,0.8135593220338984,0.8888888888888888,0.75,0.8234375715255737,0.11838483065366745,0.7050527408719063
2,2,10.0,0.982421875,0.9838327147190293,0.890625,0.8813559322033898,0.951171875,0.9483909023957341,0.875,0.8666666666666667,0.9285714285714286,0.8125,0.8121411204338074,0.07913193851709366,0.7330091819167137
3,3,10.0,0.98828125,0.9894446297194599,0.921875,0.9152542372881356,0.951171875,0.9467092354928064,0.890625,0.8888888888888888,0.9032258064516129,0.875,0.8637060523033142,0.12668314576148987,0.7370229065418243
4,4,1.0,0.9853515625,0.9870559561965812,0.921875,0.9152542372881356,0.958984375,0.9620163537041773,0.859375,0.8524590163934426,0.896551724137931,0.8125,0.8522061109542847,0.1320260465145111,0.7201800644397736
5,5,10.0,0.98828125,0.9891811191428155,0.9375,0.9375,0.958984375,0.9621349168762963,0.890625,0.8923076923076924,0.8787878787878788,0.90625,0.8845986723899841,0.16398568451404572,0.7206129878759384
6,6,1.0,0.9853515625,0.9863341745793601,0.90625,0.9032258064516129,0.970703125,0.9724911829921685,0.90625,0.9090909090909091,0.8823529411764706,0.9375,0.9079670906066895,0.12786076962947845,0.780106320977211
7,7,0.1,0.98828125,0.9896805476998493,0.921875,0.9230769230769231,0.9716796875,0.9741251003237603,0.890625,0.8955223880597015,0.8571428571428571,0.9375,0.9176419377326965,0.14951732754707336,0.7681246101856232
8,8,1.0,0.9912109375,0.9924063986248965,0.9375,0.9393939393939394,0.9755859375,0.9770474534170052,0.9375,0.9393939393939394,0.9117647058823529,0.96875,0.9352349638938904,0.12043347954750061,0.8148014843463898
9,9,10.0,0.9853515625,0.986776634576682,0.921875,0.9230769230769231,0.9619140625,0.9646025139860208,0.90625,0.9090909090909091,0.8823529411764706,0.9375,0.9032996296882629,0.1367078721523285,0.7665917575359344
10,10,0.1,0.990234375,0.9913647319582299,0.953125,0.9538461538461539,0.9716796875,0.973487238790614,0.890625,0.8955223880597015,0.8571428571428571,0.9375,0.907088041305542,0.1553269326686859,0.7517611086368561
11,11,0.1,0.9931640625,0.9943910256410257,0.953125,0.9538461538461539,0.970703125,0.974277546347046,0.890625,0.8955223880597015,0.8571428571428571,0.9375,0.9092391133308411,0.14961905777454376,0.7596200555562973
12,12,1.0,0.9892578125,0.9904473550642905,0.953125,0.9538461538461539,0.9775390625,0.9788835554369306,0.9375,0.9375,0.9375,0.9375,0.9108761548995972,0.11582885682582855,0.7950472980737686
13,13,10.0,0.9912109375,0.9921637855636158,0.9375,0.9393939393939394,0.9775390625,0.9796673548510613,0.90625,0.9090909090909091,0.8823529411764706,0.9375,0.9232110977172852,0.12022264301776886,0.8029884546995163
14,14,10.0,0.9912109375,0.9924063986248965,0.953125,0.9538461538461539,0.974609375,0.9759277149810903,0.9375,0.9375,0.9375,0.9375,0.914330244064331,0.095082588493824,0.819247655570507
